0	-1	universe	universe	000000
1	557	TMv	Tuberomammillary nucleus, ventral part	FF4C3E
2	345	SSp-m6b	Primary somatosensory area, mouth, layer 6b	188064
3	1040	sec	secondary fissure	AAAAAA
4	339	IC	Inferior colliculus	FF7AFF
6	784	int	internal capsule	CCCCCC
7	1132	PSV	Principal sensory nucleus of the trigeminal	FFAE6F
8	997	grey	Basic cell groups and regions	BFDAE3
9	361	SSp-tr6a	Primary somatosensory area, trunk, layer 6a	188064
10	294	SCig	Superior colliculus, motor related, intermediate gray layer	FF90FF
11	1040	plf	posterolateral fissure	AAAAAA
12	165	IF	Interfascicular nucleus raphe	FFA6FF
14	896	im	internal medullary lamina of the thalamus	CCCCCC
15	571	PT	Parataenial nucleus	FF909F
16	703	6b	Layer 6b, isocortex	8ADA87
17	294	SCiw	Superior colliculus, motor related, intermediate white layer	FF90FF
18	1040	nf	nodular fissure	AAAAAA
19	1080	IG	Induseum griseum	7ED04B
20	918	ENTl2	Entorhinal area, lateral part, layer 2	32B825
21	840	lotg	lateral olfactory tract, general	CCCCCC
22	315	PTLp	Posterior parietal association areas	009FAC
23	278	AAA	Anterior amygdalar area	80C0E2
25	1040	sif	simple fissure	AAAAAA
26	294	SCdg	Superior colliculus, motor related, deep gray layer	FF90FF
27	1014	IGL	Intergeniculate leaflet of the lateral geniculate complex	FF909F
28	918	ENTl6a	Entorhinal area, lateral part, layer 6a	32B825
29	871	sttl	lateral spinothalamic tract	CCCCCC
30	157	PVa	Periventricular hypothalamic nucleus, anterior part	FF5D50
31	315	ACA	Anterior cingulate area	40A666
33	385	VISp6a	Primary visual area, layer 6a	08858C
34	1040	icf	intercrural fissure	AAAAAA
35	323	III	Oculomotor nucleus	FF90FF
36	1057	GU1	Gustatory areas, layer 1	009C75
37	768	lab	longitudinal association bundle	CCCCCC
38	157	PVH	Paraventricular hypothalamic nucleus	FF5D50
39	31	ACAd	Anterior cingulate area, dorsal part	40A666
41	533	VISpm2/3	posteromedial visual area, layer 2/3	08858C
42	294	SCdw	Superior colliculus, motor related, deep white layer	FF90FF
43	1040	apf	ansoparamedian fissure	AAAAAA
44	315	ILA	Infralimbic area	59B363
45	445	SPVOrdm	Spinal nucleus of the trigeminal, oral part, rostral dorsomedial part	FFA5D2
46	824	mfbsma	mammillary related	CCCCCC
47	71	PVHam	Paraventricular hypothalamic nucleus, magnocellular division, anterior magnocellular part	FF5D50
48	31	ACAv	Anterior cingulate area, ventral part	40A666
49	1040	ipf	intraparafloccular fissure	AAAAAA
50	795	PRC	Precommissural nucleus	FF90FF
51	856	ILM	Intralaminar nuclei of the dorsal thalamus	FF909F
52	918	ENTl3	Entorhinal area, lateral part, layer 3	32B825
53	445	SPVOmdmd	Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, dorsal zone	FFA5D2
54	824	mfb	medial forebrain bundle	CCCCCC
55	94	PVHap	Paraventricular hypothalamic nucleus, parvicellular division, anterior parvicellular part	FF5D50
56	493	ACB	Nucleus accumbens	80CDF8
57	1040	pms	paramedian sulcus	AAAAAA
