Region ID, Region name, Region volume, vol P1, vol P2, vol P3, vol LD1, vol LD2, vol LD3, vol HD1, vol HD2, vol HD3, avg P, avg LD, avg HD, pv LD, pv HD
 0, universe, 2.27071e+07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 1, Tuberomammillary nucleus ventral part, 937, 2.34849e+06, 215982, 1.87397e+07, 1.18576e+06, 5.41537e+06, 2.40398e+07, 3.61621e+06, 2.18208e+06, 2.24743e+06, 7.10139e+06, 1.02136e+07, 2.68191e+06, 0.698033, -0.408679
 2, Primary somatosensory area mouth layer 6b, 3626, 1.08677e+08, 4.72185e+07, 1.90991e+08, 3.40013e+08, 2.29871e+07, 1.17871e+07, 3.32716e+07, 1.31274e+06, 2.66832e+07, 1.15629e+08, 1.24929e+08, 2.04225e+07, 0.926103, -0.0526547
 3, secondary fissure, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 4, Inferior colliculus, 179261, 9.99081e+09, 1.33414e+10, 1.93911e+10, 3.89892e+10, 7.98562e+09, 8.67347e+09, 1.96885e+10, 9.43387e+09, 1.66301e+10, 1.42411e+10, 1.85494e+10, 1.52508e+10, 0.644312, 0.777939
 6, internal capsule, 77849, 1.3694e+09, 3.92244e+08, 2.40701e+09, 1.70969e+09, 1.61351e+09, 2.05234e+09, 8.3467e+08, 4.74885e+08, 1.94937e+08, 1.38955e+09, 1.79185e+09, 5.01497e+08, 0.455397, -0.149391
 7, Principal sensory nucleus of the trigeminal, 35174, 1.10617e+09, 9.90745e+08, 2.10192e+09, 1.22406e+09, 2.96211e+09, 2.59176e+09, 1.06784e+09, 9.53843e+08, 1.36319e+09, 1.39961e+09, 2.25931e+09, 1.12829e+09, 0.172865, -0.423593
 8, Basic cell groups and regions, 2658, 1.69806e+08, 2.34736e+08, 2.66079e+08, 5.70228e+08, 2.30902e+08, 2.67299e+08, 1.51047e+08, 1.59363e+08, 2.35129e+08, 2.2354e+08, 3.56143e+08, 1.81846e+08, 0.218051, -0.260329
 9, Primary somatosensory area trunk layer 6a, 7455, 7.15536e+08, 4.66337e+07, 7.56651e+08, 1.45222e+09, 7.05961e+08, 3.4394e+08, 4.93016e+08, 8.42469e+07, 3.58294e+07, 5.06274e+08, 8.3404e+08, 2.04364e+08, 0.371583, -0.245601
 10, Superior colliculus motor related intermediate gray layer, 67829, 4.37151e+09, 5.33978e+09, 8.26896e+09, 1.36729e+10, 4.17159e+09, 3.76164e+09, 6.06605e+09, 3.70133e+09, 7.70781e+09, 5.99342e+09, 7.20204e+09, 5.82506e+09, 0.689398, -0.906621
 11, posterolateral fissure, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 12, Interfascicular nucleus raphe, 1354, 2.90866e+06, 5.14978e+06, 135087, 7.74126e+06, 23, 0, 0, 0, 1.58183e+07, 2.73118e+06, 2.58043e+06, 5.27277e+06, -0.953258, 0.599651
 14, internal medullary lamina of the thalamus, 52, 3.78288e+06, 804782, 6.94037e+06, 6.78524e+06, 6.46909e+06, 4.8588e+06, 187397, 2.43285e+06, 174524, 3.84268e+06, 6.03771e+06, 931590, 0.223747, -0.137485
 15, Parataenial nucleus, 8552, 8.48086e+07, 4.08884e+08, 2.16353e+08, 5.82142e+08, 3.3558e+08, 2.77081e+07, 7.15297e+06, 8.91348e+07, 2.40801e+08, 2.36682e+08, 3.15143e+08, 1.12363e+08, 0.632563, -0.260816
 16, Layer 6b isocortex, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 17, Superior colliculus motor related intermediate white layer, 67790, 4.42303e+09, 5.46931e+09, 7.86847e+09, 1.31596e+10, 4.30476e+09, 3.72971e+09, 6.22164e+09, 3.88994e+09, 6.6052e+09, 5.92027e+09, 7.06469e+09, 5.57226e+09, 0.685619, -0.76408
 18, nodular fissure, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 19, Induseum griseum, 938, 5.28819e+06, 2.30312e+06, 2.0052e+07, 2.42965e+08, 4.96804e+07, 1.93653e+07, 1.51843e+07, 234732, 1.68161e+07, 9.21444e+06, 1.04004e+08, 1.0745e+07, 0.173736, 0.817598
 20, Entorhinal area lateral part layer 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 21, lateral olfactory tract general, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 22, Posterior parietal association areas, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 23, Anterior amygdalar area, 18526, 1.97582e+08, 7.04682e+08, 7.98025e+08, 6.66702e+08, 9.73561e+08, 4.87571e+08, 2.96608e+08, 9.34139e+06, 3.38903e+08, 5.66763e+08, 7.09278e+08, 2.14951e+08, 0.497827, -0.113549
 25, simple fissure, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 26, Superior colliculus motor related deep gray layer, 39746, 2.212e+09, 3.05406e+09, 3.07026e+09, 8.36478e+09, 1.54317e+09, 1.47436e+09, 2.18677e+09, 1.67259e+09, 3.2936e+09, 2.77877e+09, 3.7941e+09, 2.38432e+09, 0.617874, -0.43388
 27, Intergeniculate leaflet of the lateral geniculate complex, 2276, 5.37717e+07, 3.48394e+07, 1.1937e+08, 6.73873e+07, 3.12146e+07, 3.28565e+07, 5.92209e+07, 5.62075e+06, 1.75708e+07, 6.9327e+07, 4.38195e+07, 2.74708e+07, -0.330014, -0.166249
 28, Entorhinal area lateral part layer 6a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 29, lateral spinothalamic tract, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 30, Periventricular hypothalamic nucleus anterior part, 610, 226726, 5.02009e+06, 4.48585e+06, 1.47794e+06, 6.82945e+06, 0, 0, 62286, 448348, 3.24422e+06, 2.76913e+06, 170211, -0.831969, -0.0688072
 31, Anterior cingulate area, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 33, Primary visual area layer 6a, 35120, 2.4651e+09, 3.16969e+09, 4.32117e+09, 7.4248e+09, 2.19989e+09, 2.26149e+09, 2.18876e+09, 1.14086e+08, 1.09724e+09, 3.31865e+09, 3.96206e+09, 1.13336e+09, 0.686401, -0.0295023
 34, intercrural fissure, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 35, Oculomotor nucleus, 1150, 4.03402e+06, 8.0092e+06, 0, 6.15402e+07, 0, 0, 0, 0, 3.9489e+07, 4.01441e+06, 2.05134e+07, 1.3163e+07, 0.383069, 0.448988
 36, Gustatory areas layer 1, 6260, 4.03892e+08, 2.28174e+08, 5.88594e+08, 4.99594e+08, 2.60587e+08, 3.28203e+08, 3.58376e+08, 16973, 1.06141e+08, 4.06887e+08, 3.62795e+08, 1.54845e+08, -0.690397, -0.106575
 37, longitudinal association bundle, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 38, Paraventricular hypothalamic nucleus, 8310, 3.43362e+07, 2.46882e+07, 7.65103e+07, 8.25549e+07, 2.40261e+08, 1.95796e+06, 252801, 1.6095e+07, 4.12434e+07, 4.51782e+07, 1.08258e+08, 1.91971e+07, 0.342312, -0.184887
 39, Anterior cingulate area dorsal part, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 41, posteromedial visual area layer 2/3, 9434, 6.69967e+08, 7.43982e+08, 8.28781e+08, 2.28171e+09, 1.09051e+09, 1.02962e+09, 6.23417e+08, 7.78297e+07, 3.43118e+08, 7.47577e+08, 1.46728e+09, 3.48122e+08, 0.0980913, -0.0406599
 42, Superior colliculus motor related deep white layer, 11306, 5.16669e+08, 8.16177e+08, 3.74926e+08, 2.52861e+09, 1.43743e+08, 2.34784e+08, 1.64795e+08, 2.87689e+08, 8.78877e+08, 5.69257e+08, 9.69046e+08, 4.43787e+08, 0.569417, -0.580581
 43, ansoparamedian fissure, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 44, Infralimbic area, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 45, Spinal nucleus of the trigeminal oral part rostral dorsomedial part, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 46, mammillary related, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
